hour,zone,total_ridership
2024-01-08 07:00:00.000000 UTC,Inside,37316
2024-01-08 07:00:00.000000 UTC,Outside,253054
2024-01-08 08:00:00.000000 UTC,Inside,53848
2024-01-08 08:00:00.000000 UTC,Outside,282418
2024-01-08 09:00:00.000000 UTC,Inside,34534
2024-01-08 09:00:00.000000 UTC,Outside,161503
2024-01-08 10:00:00.000000 UTC,Inside,22729
2024-01-08 10:00:00.000000 UTC,Outside,106996
2024-01-08 11:00:00.000000 UTC,Inside,22539
2024-01-08 11:00:00.000000 UTC,Outside,96931
2024-01-08 12:00:00.000000 UTC,Inside,25072
2024-01-08 12:00:00.000000 UTC,Outside,103768
2024-01-08 13:00:00.000000 UTC,Inside,28484
2024-01-08 13:00:00.000000 UTC,Outside,119822
2024-01-08 14:00:00.000000 UTC,Inside,37977
2024-01-08 14:00:00.000000 UTC,Outside,152376
2024-01-08 15:00:00.000000 UTC,Inside,50889
2024-01-08 15:00:00.000000 UTC,Outside,197906
2024-01-08 16:00:00.000000 UTC,Inside,64982
2024-01-08 16:00:00.000000 UTC,Outside,225070
2024-01-08 17:00:00.000000 UTC,Inside,88129
2024-01-08 17:00:00.000000 UTC,Outside,262209
2024-01-08 18:00:00.000000 UTC,Inside,66667
2024-01-08 18:00:00.000000 UTC,Outside,190623
2024-01-08 19:00:00.000000 UTC,Inside,36471
2024-01-08 19:00:00.000000 UTC,Outside,110368
2024-01-08 20:00:00.000000 UTC,Inside,23343
2024-01-08 20:00:00.000000 UTC,Outside,73747
2024-01-08 21:00:00.000000 UTC,Inside,18697
2024-01-08 21:00:00.000000 UTC,Outside,55958
2024-01-08 22:00:00.000000 UTC,Inside,13024
2024-01-08 22:00:00.000000 UTC,Outside,42140
2024-01-08 23:00:00.000000 UTC,Inside,8875
2024-01-08 23:00:00.000000 UTC,Outside,28662
2024-01-09 00:00:00.000000 UTC,Inside,5123
2024-01-09 00:00:00.000000 UTC,Outside,13287
2024-01-09 01:00:00.000000 UTC,Inside,1710
2024-01-09 01:00:00.000000 UTC,Outside,4990
2024-01-09 02:00:00.000000 UTC,Inside,889
2024-01-09 02:00:00.000000 UTC,Outside,3716
2024-01-09 03:00:00.000000 UTC,Inside,617
2024-01-09 03:00:00.000000 UTC,Outside,5015
2024-01-09 04:00:00.000000 UTC,Inside,1172
2024-01-09 04:00:00.000000 UTC,Outside,16003
2024-01-09 05:00:00.000000 UTC,Inside,6017
2024-01-09 05:00:00.000000 UTC,Outside,57182
2024-01-09 06:00:00.000000 UTC,Inside,17776
2024-01-09 06:00:00.000000 UTC,Outside,128301
2024-01-09 07:00:00.000000 UTC,Inside,39940
2024-01-09 07:00:00.000000 UTC,Outside,261894
2024-01-09 08:00:00.000000 UTC,Inside,64753
2024-01-09 08:00:00.000000 UTC,Outside,316151
2024-01-09 09:00:00.000000 UTC,Inside,40570
2024-01-09 09:00:00.000000 UTC,Outside,184004
2024-01-09 10:00:00.000000 UTC,Inside,23880
2024-01-09 10:00:00.000000 UTC,Outside,113671
2024-01-09 11:00:00.000000 UTC,Inside,23820
2024-01-09 11:00:00.000000 UTC,Outside,100165
2024-01-09 12:00:00.000000 UTC,Inside,26205
2024-01-09 12:00:00.000000 UTC,Outside,104442
2024-01-09 13:00:00.000000 UTC,Inside,30785
